sample,Time,Lgals4,Kif2c
S1,9,445.3249926,32.79545394
S2,9,328.8365556,24.35696874
S3,9,247.9836101,21.15279694
S4,7,307.1910339,28.31543067
S5,7,210.4472955,35.19236526
S6,7,277.8986905,30.72076549
S7,5,148.3430609,42.52354291
S8,5,122.5382263,28.57608839
S9,5,180.27196419999999,25.58394893
S10,0,200.1140841,36.04919974
S11,0,244.6997747,42.07026463
S12,0,397.9420397,29.97494676
S13,4,158.7754965,21.15279694
S14,4,116.52524869999999,29.9858415
S15,4,295.12879469999996,27.39139954
S16,6,262.9323109,21.15279694
S17,6,258.42653540000003,34.68776762
S18,6,326.79211549999997,27.04765329
S19,8,279.33921519999996,21.15279694
S20,8,273.70289310000004,21.15279694
S21,8,267.02167290000006,21.15279694
S22,10,205.6525224,21.15279694
S23,10,217.2378372,21.15279694
S24,10,261.21539920000004,21.15279694
S25,12,211.31626269999998,21.15279694
S26,12,174.3127658,28.78506181
S27,12,247.55533730000002,28.47381804
S28,11,214.31919449999998,27.34956781
S29,11,156.757161,21.15279694
S30,11,175.8928893,26.35652837
